oras,siruta,cod,cod_functional,sectiune,coloana,valoare_veche,valoare_noua,raport,raport_relativ,semnatura,vechi_verificat,nou_verificat,pagina_noua,prioritate
Craiova,69900,20.30,68.02,====== SECTIUNEA TOTAL ======,trim1,16.00,1.00,0.0625,0.06579,outlier,True,True,19,22.8
Craiova,69900,20.30.30,68.02,====== SECTIUNEA TOTAL ======,trim1,16.00,1.00,0.0625,0.06579,outlier,True,True,19,22.8
Craiova,69900,20.30,68.02,FUNCTIONARE,trim1,16.00,1.00,0.0625,0.06579,outlier,True,True,38,22.8
Craiova,69900,20.30.30,68.02,FUNCTIONARE,trim1,16.00,1.00,0.0625,0.06579,outlier,True,True,38,22.8
Craiova,69900,36.02.50,,FUNCTIONARE,trim4,153.00,15.00,0.09804,0.1032,outlier,True,True,27,21.9
Craiova,69900,36.02.50,,FUNCTIONARE,trim2,153.00,15.00,0.09804,0.1032,outlier,True,True,27,21.9
Craiova,69900,36.02.50,,====== SECTIUNEA TOTAL ======,trim4,153.00,15.00,0.09804,0.1032,outlier,True,True,3,21.9
Craiova,69900,36.02.50,,====== SECTIUNEA TOTAL ======,trim2,153.00,15.00,0.09804,0.1032,outlier,True,True,3,21.9
Craiova,69900,20.01.08,68.02,====== SECTIUNEA TOTAL ======,trim3,9.00,81.00,9,9.474,outlier,True,True,19,18.9
Craiova,69900,20.01.08,68.02,FUNCTIONARE,trim3,9.00,81.00,9,9.474,outlier,True,True,38,18.9
Craiova,69900,20.01.06,51.02,FUNCTIONARE,trim1,7.00,64.00,9.143,9.624,outlier,True,True,31,18.4
Craiova,69900,20.01.06,51.02,====== SECTIUNEA TOTAL ======,trim1,7.00,64.00,9.143,9.624,outlier,True,True,9,18.4
Craiova,69900,71.01.30,67.02,====== SECTIUNEA TOTAL ======,trim2,80.00,9.00,0.1125,0.1184,outlier,True,True,18,16.8
Craiova,69900,71.01.30,67.02,DEZVOLTARE,trim2,80.00,9.00,0.1125,0.1184,outlier,True,True,47,16.8
Craiova,69900,20.01.08,68.02,====== SECTIUNEA TOTAL ======,trim4,10.00,79.00,7.9,8.316,outlier,True,True,19,16.6
Craiova,69900,20.01.08,68.02,FUNCTIONARE,trim4,10.00,79.00,7.9,8.316,outlier,True,True,38,16.6
Craiova,69900,20.02,68.02,FUNCTIONARE,trim3,45.00,5.00,0.1111,0.117,outlier,True,True,38,15.3
Craiova,69900,20.02,68.02,====== SECTIUNEA TOTAL ======,trim3,45.00,5.00,0.1111,0.117,outlier,True,True,19,15.3
Craiova,69900,20.01.01,68.02,====== SECTIUNEA TOTAL ======,trim4,2.00,18.00,9,9.474,outlier,True,True,19,14.5
Craiova,69900,20.01.01,68.02,FUNCTIONARE,trim4,2.00,18.00,9,9.474,outlier,True,True,38,14.5
Oradea,26564,71.01.01,70.02,,trim4,10.00,10000.00,1000,1095,outlier,True,True,18,6023.8
Oradea,26564,65.02.50,,,trim1,61.87,22881.38,369.8,405.1,outlier,True,True,11,2693.4
Oradea,26564,58,81.02,,trim1,207.00,58348.66,281.9,308.7,outlier,True,True,21,2553.5
Oradea,26564,42.02.88,,,trim4,238532.23,2200.00,0.009223,0.0101,decimal_shift,True,True,3,2286.8
Oradea,26564,80.02,,,trim1,17.00,3751.80,220.7,241.7,outlier,False,False,20,2133.4
Oradea,26564,42.02.88,,,trim3,302700.00,2200.00,0.007268,0.00796,outlier,True,True,3,1536.2
Oradea,26564,60,66.02,,trim2,227647.55,12827.53,0.05635,0.06171,outlier,True,False,12,1480.6
Oradea,26564,42.02.88.01,,,trim3,270800.00,2000.00,0.007386,0.008089,outlier,True,True,3,1471.9
Oradea,26564,42.02.88.01,,,trim2,252875.89,2175.14,0.008602,0.009421,outlier,True,True,3,1243.2
Oradea,26564,42.02.88,,,trim2,287071.41,2778.42,0.009678,0.0106,outlier,True,True,3,1139.0
Oradea,26564,80.02.01.10,,,trim1,17.00,3751.80,220.7,241.7,outlier,True,True,20,1066.7
Oradea,26564,42.02.88.01,,,trim4,207132.23,2000.00,0.009656,0.01058,outlier,True,True,3,1055.9
Oradea,26564,42.02.88.03,,,trim3,31900.00,200.00,0.00627,0.006867,outlier,True,True,3,1045.9
Oradea,26564,42.02.88.03,,,trim4,31400.00,200.00,0.006369,0.006976,outlier,True,True,3,1025.8
Oradea,26564,58.32,81.02,,trim1,207.00,15459.00,74.68,81.79,outlier,True,True,21,496.9
